"REF_DATE","GEO","DGUID","Age group","Teen pregnancy outcomes","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Prince Edward Island","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384887","3.1.2.1","148","","","","0"
"1998","Prince Edward Island","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384888","3.1.2.2","29.7","","","","1"
"1998","Prince Edward Island","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384889","3.1.3.1","28","","","","0"
"1998","Prince Edward Island","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384890","3.1.3.2","5.6","","","","1"
"1998","Prince Edward Island","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384891","3.1.4.1","5","","","","0"
"1998","Prince Edward Island","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384892","3.1.4.2","1.0","","","","1"
"1998","Prince Edward Island","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384893","3.2.1.1","67","","","","0"
"1998","Prince Edward Island","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384894","3.2.1.2","22.2","","","","1"
"1998","Prince Edward Island","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384895","3.2.2.1","52","","","","0"
"1998","Prince Edward Island","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384896","3.2.2.2","17.2","","","","1"
"1998","Prince Edward Island","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384897","3.2.3.1","11","","","","0"
"1998","Prince Edward Island","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384898","3.2.3.2","3.6","","","","1"
"1998","Prince Edward Island","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384899","3.2.4.1","4","","","","0"
"1998","Prince Edward Island","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384900","3.2.4.2","1.3","","","","1"
"1998","Prince Edward Island","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384901","3.3.1.1","114","","","","0"
"1998","Prince Edward Island","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384902","3.3.1.2","58.3","","","","1"
"1998","Prince Edward Island","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384903","3.3.2.1","96","","","","0"
"1998","Prince Edward Island","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384904","3.3.2.2","49.1","","","","1"
"1998","Prince Edward Island","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384905","3.3.3.1","17","","","","0"
"1998","Prince Edward Island","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384906","3.3.3.2","8.7","","","","1"
"1998","Prince Edward Island","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384907","3.3.4.1","1","","","","0"
"1998","Prince Edward Island","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384908","3.3.4.2","0.5","","","","1"
"1998","Nova Scotia","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384909","4.1.1.1","1236","","","","0"
"1998","Nova Scotia","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384910","4.1.1.2","39.7","","","","1"
"1998","Nova Scotia","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384911","4.1.2.1","747","","","","0"
"1998","Nova Scotia","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384912","4.1.2.2","24.0","","","","1"
"1998","Nova Scotia","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384913","4.1.3.1","477","","","","0"
"1998","Nova Scotia","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384914","4.1.3.2","15.3","","","","1"
"1998","Nova Scotia","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384915","4.1.4.1","12","","","","0"
"1998","Nova Scotia","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384916","4.1.4.2","0.4","","","","1"
"1998","Nova Scotia","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384917","4.2.1.1","441","","","","0"
"1998","Nova Scotia","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384918","4.2.1.2","23.7","","","","1"
"1998","Nova Scotia","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384919","4.2.2.1","240","","","","0"
"1998","Nova Scotia","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384920","4.2.2.2","12.9","","","","1"
"1998","Nova Scotia","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384921","4.2.3.1","195","","","","0"
"1998","Nova Scotia","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384922","4.2.3.2","10.5","","","","1"
"1998","Nova Scotia","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384923","4.2.4.1","6","","","","0"
"1998","Nova Scotia","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384924","4.2.4.2","0.3","","","","1"
"1998","Nova Scotia","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384925","4.3.1.1","795","","","","0"
"1998","Nova Scotia","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384926","4.3.1.2","63.2","","","","1"
"1998","Nova Scotia","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384927","4.3.2.1","507","","","","0"
"1998","Nova Scotia","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384928","4.3.2.2","40.3","","","","1"
"1998","Nova Scotia","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384929","4.3.3.1","282","","","","0"
"1998","Nova Scotia","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384930","4.3.3.2","22.4","","","","1"
"1998","Nova Scotia","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384931","4.3.4.1","6","","","","0"
"1998","Nova Scotia","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384932","4.3.4.2","0.5","","","","1"
"1998","New Brunswick","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384933","5.1.1.1","955","","","","0"
"1998","New Brunswick","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384934","5.1.1.2","37.8","","","","1"
"1998","New Brunswick","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384935","5.1.2.1","668","","","","0"
"1998","New Brunswick","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384936","5.1.2.2","26.4","","","","1"
"1998","New Brunswick","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384937","5.1.3.1","253","","","","0"
"1998","New Brunswick","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384938","5.1.3.2","10.0","","","","1"
"1998","New Brunswick","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384939","5.1.4.1","34","","","","0"
"1998","New Brunswick","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384940","5.1.4.2","1.3","","","","1"
"1998","New Brunswick","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384941","5.2.1.1","312","","","","0"
"1998","New Brunswick","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384942","5.2.1.2","20.7","","","","1"
"1998","New Brunswick","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384943","5.2.2.1","195","","","","0"
"1998","New Brunswick","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384944","5.2.2.2","12.9","","","","1"
"1998","New Brunswick","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384945","5.2.3.1","98","","","","0"
"1998","New Brunswick","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384946","5.2.3.2","6.5","","","","1"
"1998","New Brunswick","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384947","5.2.4.1","19","","","","0"
"1998","New Brunswick","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384948","5.2.4.2","1.3","","","","1"
"1998","New Brunswick","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384949","5.3.1.1","643","","","","0"
"1998","New Brunswick","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384950","5.3.1.2","63.1","","","","1"
"1998","New Brunswick","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384951","5.3.2.1","473","","","","0"
"1998","New Brunswick","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384952","5.3.2.2","46.4","","","","1"
"1998","New Brunswick","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384953","5.3.3.1","155","","","","0"
"1998","New Brunswick","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384954","5.3.3.2","15.2","","","","1"
"1998","New Brunswick","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384955","5.3.4.1","15","","","","0"
"1998","New Brunswick","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384956","5.3.4.2","1.5","","","","1"
"1998","Quebec","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384957","6.1.1.1","9619","","","","0"
"1998","Quebec","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384958","6.1.1.2","40.0","","","","1"
"1998","Quebec","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384959","6.1.2.1","3579","","","","0"
"1998","Quebec","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384960","6.1.2.2","14.9","","","","1"
"1998","Quebec","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384961","6.1.3.1","5870","","","","0"
"1998","Quebec","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384962","6.1.3.2","24.4","","","","1"
"1998","Quebec","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384963","6.1.4.1","170","","","","0"
"1998","Quebec","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384964","6.1.4.2","0.7","","","","1"
"1998","Quebec","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384965","6.2.1.1","3155","","","","0"
"1998","Quebec","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384966","6.2.1.2","22.3","","","","1"
"1998","Quebec","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384967","6.2.2.1","948","","","","0"
"1998","Quebec","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384968","6.2.2.2","6.7","","","","1"
"1998","Quebec","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384969","6.2.3.1","2137","","","","0"
"1998","Quebec","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384970","6.2.3.2","15.1","","","","1"
"1998","Quebec","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384971","6.2.4.1","70","","","","0"
"1998","Quebec","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384972","6.2.4.2","0.4","","","","1"
"1998","Quebec","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384973","6.3.1.1","6464","","","","0"
"1998","Quebec","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384974","6.3.1.2","65.4","","","","1"
"1998","Quebec","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384975","6.3.2.1","2631","","","","0"
"1998","Quebec","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384976","6.3.2.2","26.6","","","","1"
"1998","Quebec","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384977","6.3.3.1","3733","","","","0"
"1998","Quebec","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384978","6.3.3.2","37.7","","","","1"
"1998","Quebec","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384979","6.3.4.1","100","","","","0"
"1998","Quebec","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384980","6.3.4.2","1.0","","","","1"
"1998","Ontario","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384981","7.1.1.1","13748","","","","0"
"1998","Ontario","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384982","7.1.1.2","38.1","","","","1"
"1998","Ontario","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384983","7.1.2.1","6218","","","","0"
"1998","Ontario","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384984","7.1.2.2","17.2","","","","1"
"1998","Ontario","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384985","7.1.3.1","7310","","","","0"
"1998","Ontario","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384986","7.1.3.2","20.3","","","","1"
"1998","Ontario","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384987","7.1.4.1","220","","","","0"
"1998","Ontario","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384988","7.1.4.2","0.6","","","","1"
"1998","Ontario","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384989","7.2.1.1","5064","","","","0"
"1998","Ontario","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384990","7.2.1.2","23.3","","","","1"
"1998","Ontario","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384991","7.2.2.1","2110","","","","0"
"1998","Ontario","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384992","7.2.2.2","9.7","","","","1"
"1998","Ontario","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384993","7.2.3.1","2866","","","","0"
"1998","Ontario","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384994","7.2.3.2","13.2","","","","1"
"1998","Ontario","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384995","7.2.4.1","88","","","","0"
"1998","Ontario","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384996","7.2.4.2","0.4","","","","1"
"1998","Ontario","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384997","7.3.1.1","8684","","","","0"
"1998","Ontario","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384998","7.3.1.2","60.5","","","","1"
"1998","Ontario","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384999","7.3.2.1","4108","","","","0"
"1998","Ontario","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385000","7.3.2.2","28.6","","","","1"
"1998","Ontario","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385001","7.3.3.1","4444","","","","0"
"1998","Ontario","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385002","7.3.3.2","31.0","","","","1"
"1998","Ontario","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385003","7.3.4.1","132","","","","0"
"1998","Ontario","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385004","7.3.4.2","0.9","","","","1"
"1998","Manitoba","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385005","8.1.1.1","2518","","","","0"
"1998","Manitoba","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385006","8.1.1.2","65.2","","","","1"
"1998","Manitoba","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4385007","8.1.2.1","1492","","","","0"
"1998","Manitoba","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385008","8.1.2.2","38.7","","","","1"
"1998","Manitoba","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385009","8.1.3.1","894","","","","0"
"1998","Manitoba","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385010","8.1.3.2","23.2","","","","1"
"1998","Manitoba","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385011","8.1.4.1","132","","","","0"
"1998","Manitoba","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385012","8.1.4.2","3.4","","","","1"
"1998","Manitoba","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385013","8.2.1.1","970","","","","0"
"1998","Manitoba","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385014","8.2.1.2","41.7","","","","1"
"1998","Manitoba","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4385015","8.2.2.1","548","","","","0"
"1998","Manitoba","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385016","8.2.2.2","23.5","","","","1"
"1998","Manitoba","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4385017","8.2.3.1","361","","","","0"
"1998","Manitoba","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385018","8.2.3.2","15.5","","","","1"
"1998","Manitoba","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4385019","8.2.4.1","61","","","","0"
"1998","Manitoba","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385020","8.2.4.2","2.3","","","","1"
"1998","Manitoba","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385021","8.3.1.1","1548","","","","0"
"1998","Manitoba","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385022","8.3.1.2","101.1","","","","1"
"1998","Manitoba","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4385023","8.3.2.1","944","","","","0"
"1998","Manitoba","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385024","8.3.2.2","61.6","","","","1"
"1998","Manitoba","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385025","8.3.3.1","533","","","","0"
"1998","Manitoba","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385026","8.3.3.2","34.8","","","","1"
"1998","Manitoba","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385027","8.3.4.1","71","","","","0"
"1998","Manitoba","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385028","8.3.4.2","4.6","","","","1"
